user_id,age,gender,annual_income,device_mobile,traffic_source,product_category,current_session_duration_sec,time_spent_deviation,pages_viewed,basket_icon_click,cart_items_count_this_session,cart_total_value,scrolled_to_reviews,checked_delivery_pdp,saw_checkout,sign_in,is_returning_user,lifetime_purchases_count,customer_conversion_rate,days_since_last_discount,previous_review_sentiment,social_channels_followed_count,should_receive_discount
usr_0001,56,0,33225.49,1,1,1,105.9,-32.8,4,1,4,185.97,1,0,0,0,0,0,0.005,999,1,1,1
usr_0002,46,1,65798.72,1,3,2,167.1,-18.4,4,1,2,44.9,0,0,1,1,1,3,0.15,5,1,4,0
usr_0003,32,0,82553.51,1,1,0,96.6,-118.1,2,1,3,78.55,0,0,1,0,0,0,0.005,999,1,1,1
usr_0004,60,1,76937.71,0,4,1,53.0,-166.9,1,1,1,27.13,0,0,1,0,0,0,0.005,999,1,1,1
usr_0005,25,1,51158.03,1,2,0,180.4,-3.3,3,1,2,19.21,1,1,1,1,1,4,0.211,30,2,0,0
usr_0006,38,1,81833.07,0,2,0,127.1,-26.0,3,1,1,32.73,1,0,1,1,0,0,0.005,999,1,1,0
usr_0007,56,1,57676.01,1,1,0,116.1,-74.9,6,1,0,3.87,1,1,0,0,0,0,0.005,999,1,1,0
usr_0008,36,0,48932.45,1,2,0,425.1,222.5,5,1,3,115.45,1,0,0,1,0,0,0.005,999,1,0,1
usr_0009,40,0,43958.75,1,4,3,266.2,75.7,8,0,0,4.7,0,0,0,1,1,1,0.033,30,1,1,1
usr_0010,28,1,49555.55,0,4,0,219.0,-10.4,4,1,4,135.42,0,0,1,0,0,0,0.005,999,1,1,1
usr_0011,28,1,48012.82,1,1,2,56.4,-83.0,2,1,0,4.63,0,1,0,0,0,0,0.005,999,1,3,1
usr_0012,41,1,58067.49,1,1,3,184.3,32.2,4,1,2,66.62,0,1,0,1,1,2,0.08,60,2,0,0
usr_0013,53,0,57890.33,1,4,1,164.8,-59.0,5,1,1,26.4,1,0,1,0,0,0,0.005,999,1,2,1
usr_0014,57,1,55054.83,1,4,0,43.1,-78.0,5,1,1,27.08,0,1,1,1,1,3,0.231,12,1,2,0
usr_0015,41,1,62864.89,0,1,2,158.9,0.5,4,0,0,6.41,1,0,0,1,1,5,0.333,12,2,0,0
usr_0016,20,0,76431.63,1,2,2,367.1,216.4,9,1,1,37.88,1,0,1,1,1,5,0.357,12,1,0,0
usr_0017,39,0,72091.97,1,2,2,274.1,156.7,7,1,1,33.65,0,0,1,1,1,2,0.167,5,2,3,0
usr_0018,19,1,28271.84,1,4,2,184.2,11.7,4,1,2,73.6,0,0,1,1,1,5,0.147,30,1,0,1
usr_0019,41,1,18000.0,0,1,3,159.6,-50.3,4,0,0,4.53,0,0,0,0,0,0,0.005,999,1,0,1
usr_0020,61,1,71817.76,1,1,1,94.2,-92.1,2,0,0,6.2,0,1,0,1,1,1,0.167,30,2,1,0
usr_0021,47,0,30396.18,1,3,0,222.7,10.7,5,0,0,6.08,1,0,0,1,1,4,0.444,5,2,1,0
